WKT;FROM;TO;COUNT
"LINESTRING (116.444242058824 39.9083433529412,116.440002207547 39.9220893773585)";21;16;1
"LINESTRING (116.42071 39.82432,116.419207521739 39.8560874347826)";479;478;1
"LINESTRING (116.37766391954 39.8543189770115,116.362986122807 39.8536364210526)";63;64;11
"LINESTRING (116.307114 39.81300125,116.308971958333 39.7898448333333)";569;570;1
"LINESTRING (116.498823 37.199558,116.504393 37.189672)";326;327;1
"LINESTRING (116.2789917 39.9250884,116.292279166667 39.9242433333333)";36;38;1
"LINESTRING (116.254183384615 39.9925463076923,116.254183384615 39.9925463076923)";260;260;39
"LINESTRING (116.302709818182 39.8383015454545,116.2983033 39.8301241)";117;189;1
"LINESTRING (116.171477 40.229877,116.171477 40.229877)";238;238;1
"LINESTRING (116.927073 36.306097,116.927073 36.306097)";398;398;4
"LINESTRING (116.660648111111 39.8823478888889,116.660648111111 39.8823478888889)";497;497;300
"LINESTRING (116.64041 39.892858,116.628542555556 39.9043024444444)";500;493;1
"LINESTRING (116.362267 39.898638,116.355387363636 39.890325)";246;153;1
"LINESTRING (116.48708 37.218777,116.494033 37.209272)";324;325;1
"LINESTRING (116.388641 39.9495479574468,116.37505 39.94836856)";23;67;11
"LINESTRING (116.448913 37.27605,116.456628 37.266825)";318;319;1
"LINESTRING (116.551833931034 40.0937027241379,116.551232590909 40.0767693636364)";84;83;3
"LINESTRING (116.308971958333 39.7898448333333,116.307114 39.81300125)";570;569;1
"LINESTRING (116.847505 36.74596,116.853769 36.7318985)";361;362;1
"LINESTRING (116.442462272727 39.932975,116.442462272727 39.932975)";99;99;520
"LINESTRING (116.317065769231 40.0647613846154,116.317065769231 40.0647613846154)";215;215;181
"LINESTRING (116.454895675325 39.9067917662338,117.1909448 40.0625568)";20;284;1
"LINESTRING (116.359767833333 39.8878836666667,116.357861181818 39.8706965454545)";202;203;3
"LINESTRING (116.357861181818 39.8706965454545,116.357861181818 39.8706965454545)";203;203;444
"LINESTRING (116.4685592 39.9336904,116.456198229167 39.9416057291667)";281;51;1
"LINESTRING (116.255477 39.9230275,116.2447725 39.928699375)";162;163;1
"LINESTRING (116.254102591054 39.979973798722,116.231172625 39.988906625)";0;10;1
"LINESTRING (116.4551811 39.8716443,116.4490405 39.86224575)";19;205;1
"LINESTRING (116.476232 37.699765,116.476232 37.699765)";109;109;2
"LINESTRING (116.32056875 39.869089,116.32441775 39.8460185)";185;122;1
"LINESTRING (116.555695111111 39.7596238888889,116.545293 39.75867)";506;507;1
"LINESTRING (116.233707 39.844983,116.2285695 39.8298655)";308;309;1
"LINESTRING (116.187277 40.202565,116.181332 40.211113)";235;236;1
"LINESTRING (116.3139875 39.84704375,116.302709818182 39.8383015454545)";477;117;2
"LINESTRING (116.37766391954 39.8543189770115,116.388240929825 39.8548687719298)";63;118;9
"LINESTRING (116.399665387755 39.9869133265306,116.400546222222 40.0014655555556)";29;535;1
"LINESTRING (116.335557823529 39.9451004117647,116.329023615385 39.955874)";88;268;3
"LINESTRING (116.309084690307 39.9790180756501,116.298414461538 39.9835601025641)";1;31;2
"LINESTRING (116.754335 35.830568,116.745648 35.840212)";291;292;1
"LINESTRING (116.874243 36.465645,116.874243 36.465645)";383;383;3
"LINESTRING (116.17845 39.974295,116.19308 39.9750115)";179;177;1
"LINESTRING (117.981252 39.270652,117.981252 39.270652)";473;473;2
"LINESTRING (116.302709818182 39.8383015454545,116.3139875 39.84704375)";117;477;1
"LINESTRING (116.388925102941 39.9672222205882,116.388925102941 39.9672222205882)";24;24;1280
"LINESTRING (116.657053571429 39.8683008571429,116.6552395 39.8545131666667)";498;499;1
"LINESTRING (116.284396933333 40.0401374,116.289481 40.0279941333333)";136;135;3
"LINESTRING (116.235890714286 39.972618,116.257807768421 39.9708023789474)";269;96;1
"LINESTRING (116.254102591054 39.979973798722,116.309084690307 39.9790180756501)";0;1;1
"LINESTRING (116.760465 36.844337,116.760465 36.844337)";349;349;3
"LINESTRING (116.315318166667 39.965145625,116.315318166667 39.965145625)";28;28;2499
"LINESTRING (116.900683 36.353313,116.900683 36.353313)";393;393;2
"LINESTRING (116.329023615385 39.955874,116.335557823529 39.9451004117647)";268;88;3
"LINESTRING (116.855293 36.571827,116.8472015 36.558046)";373;374;1
"LINESTRING (116.697567 36.939447,116.697567 36.939447)";339;339;3
"LINESTRING (116.588418 39.907813,116.580152333333 39.9096043333333)";490;489;1
"LINESTRING (116.337321066667 39.8295884666667,116.339678 39.8391993333333)";190;480;1
"LINESTRING (117.877935 39.296015,117.877935 39.296015)";465;465;10
"LINESTRING (116.773448666667 35.8059736666667,116.773448666667 35.8059736666667)";288;288;1266
"LINESTRING (116.588418 39.907813,116.59657325 39.90881025)";490;491;2
"LINESTRING (116.59657325 39.90881025,116.59657325 39.90881025)";491;491;287
"LINESTRING (116.28868 39.958520875,116.28632975 39.9475295)";41;40;1
"LINESTRING (116.240737 40.05784,116.240966214286 40.0692335714286)";225;142;1
"LINESTRING (116.363856 40.039167,116.350011 40.0377575)";264;265;1
"LINESTRING (116.493445545455 40.0009175454545,116.48326575 40.00877525)";77;85;4
"LINESTRING (116.449548775 39.980409425,116.438864682927 39.9857672195122)";45;44;8
"LINESTRING (116.37505 39.94836856,116.37505 39.94836856)";67;67;353
"LINESTRING (116.453651191011 39.8857899101124,116.462062757576 39.8854745151515)";18;206;3
"LINESTRING (116.267746014286 39.9566036285714,116.21711 39.986432)";256;178;1
"LINESTRING (116.315318166667 39.965145625,116.327437847619 39.9666978380952)";28;27;23
"LINESTRING (116.2321372 40.0706304,116.2321372 40.0706304)";143;143;35
"LINESTRING (116.362849 39.94657075,116.349886242424 39.9425621818182)";182;126;3
"LINESTRING (116.391917 39.842422,116.37766391954 39.8543189770115)";554;63;1
"LINESTRING (116.28868 39.958520875,116.277861505618 39.9736143146067)";41;33;1
"LINESTRING (116.343079666667 40.045191,116.350011 40.0377575)";267;265;1
"LINESTRING (116.37661246988 39.9682206024096,116.329023615385 39.955874)";123;268;1
"LINESTRING (116.46121468 39.97080078,116.470779227273 39.9656509545455)";46;47;5
"LINESTRING (116.270575666667 39.9959782222222,116.265329 39.9861983333333)";133;449;1
"LINESTRING (116.254102591054 39.979973798722,116.257807768421 39.9708023789474)";0;96;27
"LINESTRING (117.995277 39.2675473333333,117.992409 39.291926)";474;475;1
"LINESTRING (116.454895675325 39.9067917662338,116.454719222222 39.9001348888889)";20;566;10
"LINESTRING (116.493445545455 40.0009175454545,116.5031908 40.0074897333333)";77;78;5
"LINESTRING (116.400624857143 39.8653361428571,116.405067885714 39.8557572571429)";259;119;1
"LINESTRING (116.377587571429 40.0008867142857,116.400546222222 40.0014655555556)";279;535;1
"LINESTRING (116.311132111111 40.0047538148148,116.310492363636 40.0161591515151)";161;147;4
"LINESTRING (116.373124736842 39.9677681578947,116.364468233333 39.9668944666667)";6;124;18
"LINESTRING (116.3233866 39.8302350666667,116.309784315789 39.8290561578947)";187;188;4
"LINESTRING (116.807673 38.47761,116.8097425 38.455831)";578;580;1
"LINESTRING (116.8097425 38.455831,116.8097425 38.455831)";580;580;5
"LINESTRING (116.903082 36.332213,116.903082 36.332213)";395;395;2
"LINESTRING (116.475244 40.0206293333333,116.475244 40.0206293333333)";70;70;114
"LINESTRING (116.650162333333 39.9187446666667,116.652311 39.934786)";509;510;1
"LINESTRING (116.754335 35.830568,116.754335 35.830568)";291;291;3
"LINESTRING (116.315318166667 39.965145625,116.317260461538 39.9472980769231)";28;129;2
"LINESTRING (116.713003 36.909785,116.713003 36.909785)";342;342;3
"LINESTRING (116.405067885714 39.8557572571429,116.388240929825 39.8548687719298)";119;118;4
"LINESTRING (116.248155166667 39.8548221666667,116.248155166667 39.8548221666667)";196;196;331
"LINESTRING (116.464033740741 39.9109343703704,116.484368333333 39.905143)";276;220;1
"LINESTRING (116.359745780488 39.8439561219512,116.359745780488 39.8439561219512)";62;62;1663
"LINESTRING (116.231172625 39.988906625,116.254102591054 39.979973798722)";10;0;1
"LINESTRING (116.284235030769 39.8078846307692,116.284803565789 39.7952446578947)";175;176;8
"LINESTRING (116.580152333333 39.9096043333333,116.564036 39.9107014)";489;488;1
"LINESTRING (116.483171652174 39.938303173913,116.4689685 39.948495)";218;280;1
"LINESTRING (116.5646939 40.1171991,116.5646939 40.1171991)";538;538;181
"LINESTRING (116.351273485714 39.9058961428571,116.3394484 39.90609)";128;210;1
"LINESTRING (116.240966214286 40.0692335714286,116.240737 40.05784)";142;225;1
"LINESTRING (116.254102591054 39.979973798722,116.270575666667 39.9959782222222)";0;133;1
"LINESTRING (116.309084690307 39.9790180756501,116.322367820513 39.9843652564103)";1;9;2
"LINESTRING (116.339034197802 39.9664637692308,116.327437847619 39.9666978380952)";26;27;24
"LINESTRING (116.276364261905 39.863533,116.277426333333 39.8496965882353)";171;172;10
"LINESTRING (116.427469941176 39.9686446470588,116.427469941176 39.9686446470588)";54;54;415
"LINESTRING (116.628542555556 39.9043024444444,116.6415775 39.905884)";493;494;2
"LINESTRING (116.34914044898 39.8526038095238,116.362986122807 39.8536364210526)";61;64;11
"LINESTRING (116.235890714286 39.972618,116.235890714286 39.972618)";269;269;4
"LINESTRING (116.4018362 39.9312892,116.401678728571 39.9476186142857)";251;11;1
"LINESTRING (116.248155166667 39.8548221666667,116.258432 39.8666655)";196;195;1
"LINESTRING (116.268591166667 39.943516,116.268591166667 39.943516)";34;34;306
"LINESTRING (116.40101 39.9647426184211,116.401678728571 39.9476186142857)";56;11;11
"LINESTRING (116.362267 39.898638,116.378368 39.898316)";246;247;1
"LINESTRING (115.955462 40.145345,115.943473 40.150877)";546;540;1
"LINESTRING (116.84007 36.510898,116.84007 36.510898)";378;378;2
"LINESTRING (116.4836 39.975188,116.486598333333 39.9909226666667)";549;76;1
"LINESTRING (116.268546022727 39.9471546363636,116.268546022727 39.9471546363636)";180;180;744
"LINESTRING (116.282785 39.910997,116.290449875 39.91392175)";534;37;1
"LINESTRING (116.3938988 39.8702661,116.385717411765 39.886437)";207;200;1
"LINESTRING (117.877935 39.296015,117.890455 39.294012)";465;466;1
"LINESTRING (116.415743490909 39.8636931090909,116.432392 39.8641791486487)";120;151;5
"LINESTRING (116.305990529412 40.0303576470588,116.297456214286 40.0464142142857)";159;160;2
"LINESTRING (116.255378 39.9468766666667,116.257067 39.93552)";568;586;1
"LINESTRING (116.523812 39.8686025,116.5362675 39.8681225)";442;443;1
"LINESTRING (116.86059 36.580813,116.855293 36.571827)";372;373;1
"LINESTRING (116.372127275862 39.9582460689655,116.363679666667 39.96311)";7;571;1
"LINESTRING (116.481234846154 39.9545927692308,116.483171652174 39.938303173913)";217;218;3
"LINESTRING (116.873508 36.598225,116.873508 36.598225)";370;370;3
"LINESTRING (116.797793 36.7902,116.805707 36.781842)";355;356;1
"LINESTRING (116.483643428571 39.888821,116.483527625 39.872547625)";221;222;2
"LINESTRING (116.388925102941 39.9672222205882,116.37661246988 39.9682206024096)";24;123;13
"LINESTRING (116.993908 36.199753,116.993908 36.199753)";409;409;4
"LINESTRING (116.289481 40.0279941333333,116.2972052 40.0159648)";135;146;4
"LINESTRING (116.348889108108 39.9241877567568,116.337014052632 39.9299811052632)";127;89;1
"LINESTRING (116.685583 36.958608,116.691392 36.94915)";337;338;1
"LINESTRING (116.201797 40.139663,116.200748 40.151535)";230;231;1
"LINESTRING (116.853769 36.7318985,116.853769 36.7318985)";362;362;6
"LINESTRING (116.917675 36.314257,116.927073 36.306097)";397;398;1
"LINESTRING (116.600345 39.979682,116.58791 39.977477)";524;525;1
"LINESTRING (116.952252 36.283783,116.952252 36.283783)";401;401;3
"LINESTRING (116.37602 39.961487,116.388925102941 39.9672222205882)";572;24;1
"LINESTRING (117.092563 36.038433,117.09433 36.027943)";426;427;1
"LINESTRING (116.359745780488 39.8439561219512,116.362986122807 39.8536364210526)";62;64;4
"LINESTRING (116.316090222222 39.8968718888889,116.303877285714 39.9010203265306)";156;157;4
"LINESTRING (116.329023615385 39.955874,116.329023615385 39.955874)";268;268;394
"LINESTRING (117.957427 39.195585,117.960982666667 39.2079443333333)";456;457;1
"LINESTRING (116.483527625 39.872547625,116.471617 39.8722581666667)";222;223;1
"LINESTRING (116.28624211236 39.9804746741573,116.268918876133 39.9658666676737)";32;2;1
"LINESTRING (115.449378 39.638097,115.449378 39.638097)";565;565;1
"LINESTRING (116.2653435 40.0478975,116.27833475 40.0503854166667)";144;145;1
"LINESTRING (116.660785 37.013287,116.665967 37.00352)";332;333;1
"LINESTRING (116.3298651 40.0431146,116.343079666667 40.045191)";212;267;1
"LINESTRING (116.309084690307 39.9790180756501,116.315318166667 39.965145625)";1;28;2
"LINESTRING (116.310267666667 39.9929978,116.311132111111 40.0047538148148)";481;161;4
"LINESTRING (116.506342 39.984192,116.506342 39.984192)";532;532;4
"LINESTRING (116.483171652174 39.938303173913,116.483171652174 39.938303173913)";218;218;287
"LINESTRING (116.351273485714 39.9058961428571,116.355387363636 39.890325)";128;153;2
"LINESTRING (116.192825 39.921759875,116.192825 39.921759875)";167;167;178
"LINESTRING (116.350145428571 40.020494,116.353173428571 40.0085871428571)";98;97;1
"LINESTRING (116.304599222222 39.8826368333333,116.304599222222 39.8826368333333)";476;476;474
"LINESTRING (116.297062166667 39.9721718333333,116.277861505618 39.9736143146067)";197;33;1
"LINESTRING (116.341777 39.860407,116.342703785714 39.8706275714286)";588;183;1
"LINESTRING (116.415438533333 39.9635857111111,116.40101 39.9647426184211)";55;56;7
"LINESTRING (116.351158732143 39.9664790446429,116.348788521739 39.9547022173913)";25;125;6
"LINESTRING (116.390376 37.340829,116.390376 37.340829)";101;101;26
"LINESTRING (116.473028 39.920905,116.473028 39.920905)";548;548;3
"LINESTRING (116.415907857143 39.8442442857143,116.42071 39.82432)";149;479;1
"LINESTRING (116.3394484 39.90609,116.3394484 39.90609)";210;210;182
"LINESTRING (116.761105 35.82228,116.754335 35.830568)";290;291;1
"LINESTRING (116.298414461538 39.9835601025641,116.22489 39.93639)";31;448;1
"LINESTRING (116.305990529412 40.0303576470588,116.305990529412 40.0303576470588)";159;159;620
"LINESTRING (116.219081 39.9235045,116.23118 39.923834)";165;164;1
"LINESTRING (116.373193 39.986866875,116.373193 39.986866875)";277;277;355
"LINESTRING (116.521823 40.05614375,116.521823 40.05614375)";583;583;117
"LINESTRING (116.374649888889 39.887482,116.374649888889 39.887482)";201;201;468
"LINESTRING (116.284803565789 39.7952446578947,116.277426333333 39.8496965882353)";176;172;1
"LINESTRING (116.859675 36.483113,116.859675 36.483113)";381;381;2
"LINESTRING (116.454895675325 39.9067917662338,116.444242058824 39.9083433529412)";20;21;3
"LINESTRING (116.28382908 39.99714532,116.28382908 39.99714532)";132;132;178
"LINESTRING (116.349886242424 39.9425621818182,116.349886242424 39.9425621818182)";126;126;740
"LINESTRING (116.881985 36.631425,116.88162 36.617322)";367;368;1
"LINESTRING (116.278396785714 40.0169982142857,116.28382908 39.99714532)";134;132;1
"LINESTRING (116.400546222222 40.0014655555556,116.405893 40.0047616666667)";535;536;2
"LINESTRING (116.2972052 40.0159648,116.2972052 40.0159648)";146;146;385
"LINESTRING (116.556712 40.108236,116.556712 40.108236)";537;537;44
"LINESTRING (117.880662 39.276755,117.870159666667 39.2872353333333)";462;463;1
"LINESTRING (116.268094 39.9357918392857,116.268591166667 39.943516)";194;34;15
"LINESTRING (116.270575666667 39.9959782222222,116.270575666667 39.9959782222222)";133;133;103
"LINESTRING (116.4977665 39.869586,116.483527625 39.872547625)";440;222;1
"LINESTRING (116.9130515 39.09526,116.9130515 39.09526)";575;575;4
"LINESTRING (116.388240929825 39.8548687719298,116.388240929825 39.8548687719298)";118;118;2258
"LINESTRING (116.326499935484 39.9939092580645,116.326499935484 39.9939092580645)";87;87;872
"LINESTRING (116.28382908 39.99714532,116.2976265 39.9970875)";132;131;1
"LINESTRING (116.362986122807 39.8536364210526,116.359745780488 39.8439561219512)";64;62;2
"LINESTRING (115.970252 40.143847,115.970252 40.143847)";545;545;1
"LINESTRING (116.3188402 39.9320189,116.317260461538 39.9472980769231)";91;129;1
"LINESTRING (116.4709776 39.9784937,116.4786758 39.9848222)";74;75;4
"LINESTRING (116.4786758 39.9848222,116.4786758 39.9848222)";75;75;197
"LINESTRING (116.307135785714 39.8636831428571,116.307135785714 39.8636831428571)";186;186;140
"LINESTRING (116.315031380952 39.9680074285715,116.315318166667 39.965145625)";282;28;26
"LINESTRING (116.447456473684 40.0015087894737,116.465008857143 40.0007138571429)";68;58;1
"LINESTRING (116.351273485714 39.9058961428571,116.341562333333 39.92012675)";128;255;1
"LINESTRING (116.772142 36.824188,116.77978 36.815868)";351;352;1
"LINESTRING (116.339034197802 39.9664637692308,116.351158732143 39.9664790446429)";26;25;22
"LINESTRING (116.456198229167 39.9416057291667,116.456198229167 39.9416057291667)";51;51;1370
"LINESTRING (115.504633 39.643083,115.492447 39.641597)";561;562;1
"LINESTRING (116.4636992 40.0197524,116.4636992 40.0197524)";69;69;242
"LINESTRING (116.654433 37.021502,116.660785 37.013287)";331;332;1
"LINESTRING (116.355387363636 39.890325,116.342911107143 39.8889555357143)";153;154;1
"LINESTRING (116.454719222222 39.9001348888889,116.444242058824 39.9083433529412)";566;21;1
"LINESTRING (116.386213394737 39.9866306315789,116.373689387097 39.9850789032258)";30;5;13
"LINESTRING (116.21711 39.986432,116.21711 39.986432)";178;178;1
"LINESTRING (116.28382908 39.99714532,116.267970666667 40.0269006666667)";132;138;1
"LINESTRING (116.267970666667 40.0269006666667,116.278396785714 40.0169982142857)";138;134;1
"LINESTRING (116.37766391954 39.8543189770115,116.381014041667 39.8689290416667)";63;199;2
"LINESTRING (116.531507 37.763097,116.531507 37.763097)";102;102;2
"LINESTRING (116.303877285714 39.9010203265306,116.303682 39.9186235588235)";157;158;6
"LINESTRING (116.807673 38.47761,116.807673 38.47761)";578;578;1
"LINESTRING (116.453651191011 39.8857899101124,116.435070523809 39.8933174761905)";18;17;2
"LINESTRING (116.657705 39.985082,116.657705 39.985082)";519;519;5
"LINESTRING (116.888042 36.429157,116.889422 36.418475)";386;387;1
"LINESTRING (116.373689387097 39.9850789032258,116.373193 39.986866875)";5;277;15
"LINESTRING (116.351273485714 39.9058961428571,116.362267 39.898638)";128;246;1
"LINESTRING (116.270246527473 39.8791411208791,116.270246527473 39.8791411208791)";170;170;512
"LINESTRING (116.276364261905 39.863533,116.274657 39.81774)";171;296;1
"LINESTRING (116.65086 39.948768,116.65086 39.948768)";511;511;6
"LINESTRING (116.385717411765 39.886437,116.385717411765 39.886437)";200;200;715
"LINESTRING (116.302449958333 39.9607090833333,116.302449958333 39.9607090833333)";94;94;309
"LINESTRING (116.674988 36.979038,116.679277 36.96865)";335;336;1
"LINESTRING (117.04595 36.138045,117.04595 36.138045)";416;416;3
"LINESTRING (116.23646 39.854828,116.23646 39.854828)";307;307;2
"LINESTRING (116.402212 39.9777971,116.4153426 39.9763824)";181;224;1
"LINESTRING (116.715309 39.986286,116.72544 39.9867725)";517;518;1
"LINESTRING (116.356577527778 39.8642303055556,116.356577527778 39.8642303055556)";204;204;1386
"LINESTRING (116.898252 36.364433,116.900683 36.353313)";392;393;1
"LINESTRING (116.8175725 39.565876,116.8175725 39.565876)";504;504;1
"LINESTRING (116.310492363636 40.0161591515151,116.311132111111 40.0047538148148)";147;161;4
"LINESTRING (116.731482 35.855005,116.731482 35.855005)";294;294;2
"LINESTRING (115.56808 39.654438,115.56808 39.654438)";556;556;2
"LINESTRING (116.28738368 39.93202304,116.2789917 39.9250884)";39;36;1
"LINESTRING (116.455753485714 39.952497,116.4470478 39.956869075)";48;52;10
"LINESTRING (116.5495682 39.910631,116.564036 39.9107014)";487;488;2
"LINESTRING (116.427615962264 39.9090440943396,116.427615962264 39.9090440943396)";15;15;1471
"LINESTRING (116.6511626 39.8905168,116.6511626 39.8905168)";496;496;129
"LINESTRING (116.550364 39.867561,116.566468 39.8662)";444;445;1
"LINESTRING (116.832235 36.761288,116.832235 36.761288)";359;359;3
"LINESTRING (116.3805495 39.834501,116.370950619048 39.840756)";587;192;1
"LINESTRING (116.368082285714 39.8703636428571,116.356577527778 39.8642303055556)";258;204;1
"LINESTRING (116.356577527778 39.8642303055556,116.357861181818 39.8706965454545)";204;203;4
"LINESTRING (116.4388 37.61466,116.390376 37.340829)";116;101;1
"LINESTRING (116.342448176471 40.0353150588235,116.3298651 40.0431146)";211;212;2
"LINESTRING (116.282785 39.910997,116.282785 39.910997)";534;534;38
"LINESTRING (116.462062757576 39.8854745151515,116.453651191011 39.8857899101124)";206;18;3
"LINESTRING (116.377587571429 40.0008867142857,116.377587571429 40.0008867142857)";279;279;168
"LINESTRING (116.840242 36.522805,116.84007 36.510898)";377;378;1
"LINESTRING (116.564036 39.9107014,116.564036 39.9107014)";488;488;146
"LINESTRING (116.473028 39.920905,116.4685592 39.9336904)";548;281;1
"LINESTRING (116.22877 39.9636535,116.19999 39.933035)";270;271;1
"LINESTRING (116.772142 36.824188,116.772142 36.824188)";351;351;3
"LINESTRING (116.374649888889 39.887482,116.385717411765 39.886437)";201;200;1
"LINESTRING (116.37661246988 39.9682206024096,116.373689387097 39.9850789032258)";123;5;2
"LINESTRING (116.348889108108 39.9241877567568,116.351273485714 39.9058961428571)";127;128;4
"LINESTRING (116.878627 36.607518,116.873508 36.598225)";369;370;1
"LINESTRING (116.894263 36.396065,116.894263 36.396065)";389;389;4
"LINESTRING (117.097083 36.01685,117.098108 36.005945)";428;429;1
"LINESTRING (116.866502 36.589408,116.86059 36.580813)";371;372;1
"LINESTRING (116.405067885714 39.8557572571429,116.415907857143 39.8442442857143)";119;149;1
"LINESTRING (116.484368333333 39.905143,116.483643428571 39.888821)";220;221;2
"LINESTRING (117.011607 36.183808,117.02158 36.176618)";411;412;1
"LINESTRING (116.338541409091 40.0628965454545,116.325169916667 40.0553025)";214;213;3
"LINESTRING (116.2789917 39.9250884,116.28738368 39.93202304)";36;39;2
"LINESTRING (117.083457 36.081105,117.083457 36.081105)";422;422;4
"LINESTRING (116.254183384615 39.9925463076923,116.2462265 39.9858138571429)";260;261;2
"LINESTRING (116.322367820513 39.9843652564103,116.335507025 39.98512485)";9;3;14
"LINESTRING (116.284404550562 39.8262855617977,116.279995744681 39.8392355106383)";174;173;12
"LINESTRING (116.297456214286 40.0464142142857,116.27833475 40.0503854166667)";160;145;1
"LINESTRING (117.969065 39.274287,117.969065 39.274287)";472;472;2
"LINESTRING (116.927073 36.306097,116.935625 36.299133)";398;399;1
"LINESTRING (116.464033740741 39.9109343703704,116.455579614035 39.9288034210526)";276;50;2
"LINESTRING (116.660648111111 39.8823478888889,116.6511626 39.8905168)";497;496;1
"LINESTRING (116.310267666667 39.9929978,116.326499935484 39.9939092580645)";481;87;1
"LINESTRING (116.4685592 39.9336904,116.483171652174 39.938303173913)";281;218;1
"LINESTRING (116.298414461538 39.9835601025641,116.268918876133 39.9658666676737)";31;2;1
"LINESTRING (117.036063 36.15703,117.036063 36.15703)";414;414;3
"LINESTRING (117.959818 39.184835,117.957427 39.195585)";455;456;1
"LINESTRING (117.865689333333 39.2961876666667,117.865689333333 39.2961876666667)";464;464;51
"LINESTRING (116.48326575 40.00877525,116.471724909091 40.0116418181818)";85;59;4
"LINESTRING (116.317065769231 40.0647613846154,116.338541409091 40.0628965454545)";215;214;1
"LINESTRING (116.461338818182 40.0113193636364,116.448875272727 40.0160478181818)";73;86;3
"LINESTRING (116.504393 37.189672,116.504393 37.189672)";327;327;2
"LINESTRING (116.722615 35.862228,116.7082345 35.87466)";295;286;1
"LINESTRING (116.267746014286 39.9566036285714,116.267746014286 39.9566036285714)";256;256;1200
"LINESTRING (116.511297555556 40.015485,116.519682666667 40.0272502727273)";79;72;5
"LINESTRING (116.322367820513 39.9843652564103,116.347181411111 39.9847288666667)";9;4;1
"LINESTRING (116.414287464286 39.9478471190476,116.415438533333 39.9635857111111)";12;55;4
"LINESTRING (116.4153426 39.9763824,116.402212 39.9777971)";224;181;1
"LINESTRING (116.419207521739 39.8560874347826,116.415907857143 39.8442442857143)";478;149;3
"LINESTRING (116.4685592 39.9336904,116.455579614035 39.9288034210526)";281;50;1
"LINESTRING (116.326499935484 39.9939092580645,116.322367820513 39.9843652564103)";87;9;4
"LINESTRING (116.368082285714 39.8703636428571,116.368082285714 39.8703636428571)";258;258;395
"LINESTRING (116.28624211236 39.9804746741573,116.308754397059 39.9842966617647)";32;65;2
"LINESTRING (116.545293 39.75867,116.555695111111 39.7596238888889)";507;506;1
"LINESTRING (116.7082345 35.87466,116.7082345 35.87466)";286;286;1
"LINESTRING (116.966547 36.268455,116.973697 36.259247)";403;404;1
"LINESTRING (116.469517 37.689237,116.469517 37.689237)";110;110;3
"LINESTRING (117.18036375 40.07230575,117.18036375 40.07230575)";285;285;69
"LINESTRING (117.929852 39.285685,117.943932 39.2818)";469;470;1
"LINESTRING (116.268546022727 39.9471546363636,116.268591166667 39.943516)";180;34;16
"LINESTRING (116.284396933333 40.0401374,116.284396933333 40.0401374)";136;136;725
"LINESTRING (116.435070523809 39.8933174761905,116.462062757576 39.8854745151515)";17;206;1
"LINESTRING (116.254102591054 39.979973798722,116.268918876133 39.9658666676737)";0;2;8
"LINESTRING (116.302709818182 39.8383015454545,116.302709818182 39.8383015454545)";117;117;269
"LINESTRING (116.5063845 39.9065825,116.5184825 39.90751)";484;485;2
"LINESTRING (116.252317 40.0455,116.252317 40.0455)";140;140;85
"LINESTRING (116.4977665 39.869586,116.4977665 39.869586)";440;440;11
"LINESTRING (116.773448666667 35.8059736666667,116.76844 35.813115)";288;289;1
"LINESTRING (116.59657325 39.90881025,116.588418 39.907813)";491;490;1
"LINESTRING (116.240737 40.05784,116.250259272727 40.0484632727273)";225;141;1
"LINESTRING (116.43062 37.29138,116.43062 37.29138)";316;316;3
"LINESTRING (116.795741 38.41881,116.795741 38.41881)";579;579;1
"LINESTRING (117.088303 36.071902,117.091072 36.061148)";423;424;1
"LINESTRING (116.920952 39.108647,116.920952 39.108647)";577;577;3
"LINESTRING (117.088772 35.972825,117.088772 35.972825)";432;432;4
"LINESTRING (116.2447725 39.928699375,116.28624211236 39.9804746741573)";163;32;1
"LINESTRING (116.315401307692 39.9077855384615,116.316090222222 39.8968718888889)";208;156;1
"LINESTRING (116.339678 39.8391993333333,116.339678 39.8391993333333)";480;480;45
"LINESTRING (116.252317 40.0455,116.25913525 40.03737575)";140;139;1
"LINESTRING (116.2321372 40.0706304,116.240966214286 40.0692335714286)";143;142;1
"LINESTRING (116.292334714286 39.8392847142857,116.302709818182 39.8383015454545)";446;117;2
"LINESTRING (116.461338818182 40.0113193636364,116.461338818182 40.0113193636364)";73;73;273
"LINESTRING (116.362267 39.898638,116.362267 39.898638)";246;246;133
"LINESTRING (116.2976265 39.9970875,116.2972052 40.0159648)";131;146;1
"LINESTRING (117.091072 36.061148,117.091072 36.061148)";424;424;3
"LINESTRING (117.886197 39.195737,117.901153 39.191095)";451;452;1
"LINESTRING (116.349886242424 39.9425621818182,116.365669 39.9369425)";126;198;1
"LINESTRING (116.493445545455 40.0009175454545,116.493445545455 40.0009175454545)";77;77;284
"LINESTRING (116.537806944444 40.0552128333333,116.521823 40.05614375)";81;583;1
"LINESTRING (116.57559 39.832235,116.57559 39.832235)";300;300;3
"LINESTRING (116.580152333333 39.9096043333333,116.580152333333 39.9096043333333)";489;489;80
"LINESTRING (116.500330727273 40.0231155454546,116.511297555556 40.015485)";71;79;1
"LINESTRING (116.339034197802 39.9664637692308,116.339034197802 39.9664637692308)";26;26;1207
"LINESTRING (116.240966214286 40.0692335714286,116.240966214286 40.0692335714286)";142;142;176
"LINESTRING (116.165923 40.239243,116.161288 40.248795)";239;240;1
